Run:Fill,DeliveredLS,Delivered(/ub),SelectedLS,Recorded(/ub)
175874:2086,106,4933597.27602,"[1-33], [36-108]",4624799.94712
175877:2086,69,2805948.64646,[1-69],2645991.88237
175881:2086,160,6066292.95175,[1-160],5839884.49444
175886:2086,280,9547784.72565,[1-280],9260057.62334
175887:2086,136,4305469.01018,"[1-18], [21-138]",4131028.82545
175888:2086,424,12207430.2247,[1-424],12036984.0906
175906:2090,113,7089809.72703,[79-191],6243107.8809
175910:2090,8,489281.088163,[1-8],318759.746937
175921:2091,360,22060385.5087,[64-423],21436892.5888
175973:2092,141,9157571.70103,"[126-183], [186-268]",8988560.00456
175974:2092,124,7477109.96786,[1-124],7256300.02862
175975:2092,386,20668626.3502,"[1-90], [93-101], [104-390]",20090338.334
175976:2092,94,4575213.76535,"[1-33], [36-51], [54-98]",4395344.23124
175990:2093,101,7152062.04765,[56-156],6937361.95572
176023:2094,85,6195361.03264,[44-128],6058187.92536
176161:2101,12,876771.3891,"[6-7], [13-14], [16-23]",787034.893226
176163:2101,61,4257021.25498,"[1-4], [7-63]",3895764.10561
176165:2101,29,1960089.33023,[1-29],1717407.93731
176167:2101,5,320239.35732,[1-5],123622.376473
176169:2101,133,8088635.16683,[1-133],7790667.34079
176201:2103,594,40040361.3987,"[52-52], [54-55], [58-58], [61-63], [67-263], [265-570], [573-656]",39007232.0198
176202:2103,262,14573690.1812,"[1-179], [182-264]",14236143.5494
176206:2103,101,5050478.99339,[1-101],4637031.86549
176207:2103,226,10962950.8386,[1-226],10736289.266
176286:2104,428,29724149.1107,"[55-224], [226-247], [250-252], [254-486]",29057024.0586
176289:2104,66,4039949.87115,"[1-43], [46-68]",3861339.19969
176304:2105,437,31491453.0697,"[69-69], [73-73], [77-77], [79-132], [135-422], [425-516]",30777670.4075
176308:2105,289,16736892.145,"[1-45], [48-130], [133-293]",16351907.8724
176309:2105,1629,67184703.647,"[1-84], [87-122], [125-354], [356-467], [470-512], [514-627], [630-1177], [1180-1641]",65796904.5566
176467:2110,162,10378101.067,"[1-85], [88-164]",10030312.6099
176468:2110,209,12447959.588,"[1-124], [126-210]",12042570.1248
176469:2110,5,292109.913047,[1-5],137424.177312
176545:2117,1,76895.6396633,[5-5],18467.8059303
176547:2117,180,12759320.2373,"[1-151], [154-172], [175-184]",12223084.4196
176548:2117,1014,55600600.5127,"[1-72], [75-387], [390-487], [489-494], [496-575], [577-1021]",54085090.5016
176697:2124,294,22094130.3669,"[50-66], [68-344]",21390419.0257
176701:2124,145,9386666.21521,[1-145],9037955.12832
176702:2124,803,42489655.2244,"[1-4], [6-42], [45-103], [105-284], [287-291], [294-351], [353-599], [622-684], [686-723], [726-794], [796-799], [801-839]",41356028.605
176765:2126,45,3487774.38025,[84-128],2964855.70467
176771:2127,93,7539835.19287,"[57-60], [62-150]",6335585.05332
176795:2129,68,5487224.12642,[38-105],4797916.47193
176796:2129,94,6945926.28391,"[1-24], [31-100]",6510791.73673
176797:2129,225,14603448.963,"[1-26], [33-89], [95-131], [136-196], [203-237], [244-252]",14087167.8863
176799:2129,234,12871639.2473,"[1-27], [30-35], [38-238]",12073939.7982
176801:2129,244,11460290.5795,"[1-92], [95-173], [176-177], [179-249]",11160949.7106
176805:2129,96,4205095.98925,[1-96],4067823.77153
176807:2129,452,18223381.4001,"[1-74], [76-255], [257-454]",17908871.7322
176841:2135,133,7965480.23838,"[105-157], [159-182], [184-235], [238-241]",5922342.68312
176844:2135,108,5776556.83185,[1-108],5413529.12074
176848:2135,25,1325356.78919,[1-25],1147104.02312
176850:2135,299,14614988.3136,"[1-29], [32-301]",14217665.5136
176860:2135,445,18937397.3196,"[1-78], [81-271], [273-335], [338-450]",18470395.1579
176868:2135,494,17982697.686,[1-494],17732859.6655
176885:2138,158,11010362.727,"[67-152], [164-235]",10687013.5787
176886:2138,668,37141805.2933,"[1-335], [337-416], [418-425], [427-429], [431-499], [502-503], [505-505], [507-507], [509-514], [516-678]",35855524.925
176889:2138,92,4298132.48589,"[1-81], [83-93]",4091168.23297
176928:2140,119,8652212.73217,"[1-99], [102-121]",8062008.94504
176929:2140,314,19896797.4255,"[1-59], [62-198], [201-218], [221-320]",19239638.8479
176933:2140,431,22223853.8587,"[1-71], [73-358], [361-415], [418-436]",21411210.3516
176959:2143,14,1000392.27129,[17-30],938489.130804
176982:2144,7,403059.287626,[1-7],246867.141713
177053:2147,664,39074545.7904,"[54-72], [74-87], [90-208], [211-217], [219-258], [260-380], [385-427], [429-570], [573-709], [712-733]",38108836.7097
177074:2150,709,40584282.952,"[52-120], [123-468], [470-554], [556-735], [737-765]",39492623.0277
177088:2151,36,2436033.94932,"[57-83], [85-93]",2306045.40065
177095:2152,155,9676325.05645,"[49-111], [113-204]",9182280.98658
177096:2152,185,10297611.6052,"[1-14], [17-187]",9745471.42633
177131:2155,89,6748806.27201,[49-137],6614746.0445
177138:2156,59,4338188.21881,"[55-57], [59-114]",4086149.68624
177139:2156,621,38123873.5111,"[1-206], [208-249], [252-335], [337-375], [378-627]",36752374.9724
177140:2156,554,27002397.7525,"[1-106], [108-492], [495-557]",26157559.8018
177141:2156,620,25431361.8373,"[1-57], [59-154], [157-288], [290-492], [494-625]",24935923.7999
177183:2157,213,16000484.7347,"[4-74], [76-199], [202-219]",15426745.3819
177184:2157,34,2351093.28162,"[1-12], [15-36]",2125798.96868
177201:2158,723,45558881.3472,"[60-65], [68-73], [75-212], [215-334], [337-516], [519-603], [606-621], [623-794]",44723964.2645
177222:2160,287,20258304.5044,[50-336],19638758.2361
