Run:Fill,DeliveredLS,Delivered(/ub),SelectedLS,Recorded(/ub)
165620:1805,6,136276.984476,[14-19],130736.299903
165633:1806,439,10348615.4538,"[56-62], [64-64], [66-129], [133-317], [319-500]",9970315.91065
165970:1809,261,6769751.15209,"[67-263], [266-329]",6635974.9473
165993:1812,1618,33255931.6705,"[71-873], [879-1660], [1665-1697]",32805677.0685
166011:1813,81,1957447.46488,[1-81],1871144.985
166033:1815,1169,30608440.7095,"[35-53], [59-330], [336-355], [360-444], [450-606], [613-707], [713-1233]",30090114.0221
166034:1815,297,6411423.68179,"[1-109], [115-228], [234-307]",6291503.92361
166049:1816,616,16769001.6386,"[53-86], [88-236], [242-674]",16455554.7321
166149:1822,1,27276.8004624,[1-1],1920.78912177
166150:1822,99,2930874.46799,[1-99],2801591.74856
166161:1823,86,2469511.7518,"[38-120], [122-123], [126-126]",2132384.26371
166163:1823,32,881316.60135,"[1-12], [14-33]",631803.847423
166164:1823,32,868946.684447,[1-32],797351.637364
166346:1835,163,4488081.1061,[48-210],4414983.68906
166374:1836,142,3942579.7043,"[46-64], [66-188]",3832137.13357
166380:1836,1796,36832374.6949,"[1-367], [373-711], [715-1400], [1406-1809]",36284186.5439
166408:1841,1153,29054645.8669,"[67-283], [291-947], [953-1231]",28530908.8508
166429:1844,55,1547807.34326,[33-87],1454382.74276
166438:1845,833,19208424.5356,"[32-85], [87-856], [858-866]",18862798.28
166462:1846,436,10045250.1812,"[78-102], [108-317], [323-523]",9756906.17199
166486:1848,108,2480778.15883,"[54-75], [80-95], [97-166]",2434319.95143
166502:1851,57,1546124.96475,"[43-78], [83-103]",1490562.79222
166512:1852,1814,39680008.3573,"[42-430], [432-487], [491-605], [611-1279], [1281-1818], [1821-1862], [1868-1868], [1870-1871], [1873-1874]",39051621.8453
166514:1852,455,7658080.48273,[1-455],7556092.83571
166530:1854,19,507532.199961,[43-61],485268.587799
166554:1855,679,17095198.7452,"[46-218], [224-287], [290-317], [320-595], [597-730], [732-734], [736-736]",16690949.4893
166563:1855,533,11124127.421,"[1-276], [492-748]",10945693.7943
166565:1855,886,15621930.8354,"[1-147], [153-312], [316-467], [469-895]",15429736.4851
166699:1856,840,18521427.1122,"[55-234], [240-415], [421-477], [483-677], [681-912]",18266587.7789
166701:1856,735,13075940.4624,"[1-13], [16-319], [324-506], [513-551], [557-672], [681-705], [712-724], [731-757], [764-777], [783-783]",12903376.6977
166763:1859,595,14170453.2558,"[46-168], [174-645]",13977572.6412
166781:1862,335,8476359.2999,"[41-111], [115-115], [117-233], [236-253], [255-382]",8226436.23473
166782:1862,569,12575259.1581,[1-569],12378464.5778
166784:1862,357,7099287.83135,"[1-114], [119-276], [281-365]",6769093.25471
166787:1862,352,6387579.12301,"[1-55], [60-127], [132-360]",6298035.93298
166839:1863,255,6311766.046,"[43-173], [178-297], [299-302]",5515325.61663
166841:1863,991,21163164.3212,"[1-845], [851-876], [882-977], [984-984], [988-992], [998-1015]",20866165.8294
166842:1863,164,3048347.71536,[1-164],2996231.23151
166859:1864,350,9131977.24206,[62-411],8983096.51151
166860:1864,20,486960.284782,[1-20],420547.728349
166861:1864,12,267409.910316,"[1-6], [8-13]",193503.114457
166864:1864,494,10888357.1171,"[1-29], [31-77], [79-99], [102-119], [125-247], [249-307], [311-365], [367-374], [378-454], [478-534]",10103840.1597
166888:1865,409,11000143.6091,"[56-90], [93-154], [156-394], [398-470]",10648506.531
166889:1865,223,5465652.47666,"[1-73], [79-228]",5253379.41102
166890:1865,441,9939325.04672,[1-441],9755697.82072
166894:1865,190,3855164.28557,[1-190],3718941.37649
166895:1865,595,10929092.2374,"[1-66], [72-597], [599-601]",10774614.5183
166911:1866,39,1073147.82714,"[58-76], [81-100]",1035833.76059
166922:1867,753,19308848.4732,"[1-39], [41-105], [110-340], [345-418], [423-747], [752-769], [773-773]",18896665.6689
166923:1867,459,10155695.7894,"[1-382], [389-465]",10009682.7346
166946:1868,159,4433817.73727,"[41-72], [75-201]",4321901.71892
166950:1868,1402,31441766.1787,"[1-1], [8-31], [36-210], [216-877], [883-950], [956-1012], [1018-1321], [1327-1345], [1347-1438]",30743577.8121
166960:1868,161,3028797.16284,"[1-137], [143-166]",2968535.79883
166966:1868,238,4284951.53478,[1-238],4160610.31492
166967:1868,215,3680706.63419,[1-215],3628782.81364
167039:1871,204,5282643.86696,"[20-92], [98-228]",5204669.91251
167041:1871,653,14363909.5541,"[1-336], [339-391], [396-462], [467-663]",14135969.594
167043:1871,223,4273073.33746,"[1-125], [130-227]",4201587.40066
167078:1873,131,3493915.41886,[40-170],3398167.34819
167098:1875,354,8819656.02767,"[62-90], [92-162], [167-406], [448-461]",8668896.7866
167102:1875,418,8673128.65025,"[1-42], [48-233], [235-317], [323-429]",8345647.29105
167103:1875,91,1758424.05564,[1-91],1704048.18678
167151:1880,42,1106613.9283,[1-42],1041459.68414
167281:1883,570,13977985.061,"[18-140], [146-315], [317-593]",13770894.2963
167282:1883,441,8944521.86009,[1-441],8810368.13721
167284:1883,1621,25801595.0814,"[1-315], [320-346], [356-395], [399-474], [476-1157], [1160-1628], [1633-1644]",25534131.6724
167551:1889,404,11700408.3141,"[56-190], [196-464]",11482101.6125
167673:1890,226,6274277.17395,"[210-236], [239-305], [309-418], [423-444]",6107153.61476
167674:1890,345,8717271.32022,[1-345],8515084.56993
167675:1890,935,20282278.6654,"[1-129], [133-299], [301-617], [690-707], [710-712], [715-716], [719-719], [721-725], [740-741], [748-758], [762-770], [774-787], [793-797], [811-1062]",19991494.7809
167676:1890,436,8014058.01446,"[1-278], [289-446]",7902303.51396
167740:1893,83,2325923.44701,"[79-126], [132-166]",2289675.00348
167746:1894,325,8934470.79688,[56-380],8786510.41415
167754:1895,37,1072318.32645,[62-98],1052881.33154
167784:1898,17,493498.98082,[51-67],456057.619726
167786:1898,159,4307557.81614,"[1-1], [11-75], [81-173]",4200605.74835
167807:1900,1751,43064120.4774,"[60-159], [178-204], [210-482], [484-558], [560-872], [878-1441], [1444-1842]",42491630.9327
167830:1900,1231,21607788.9723,"[1-437], [442-587], [590-828], [834-1242]",21313175.5726
167898:1901,1642,40516011.933,"[108-619], [621-995], [1001-1010], [1013-1053], [1057-1295], [1298-1762]",39898991.4301
167913:1901,431,8115369.47152,"[1-126], [128-432]",7995297.42735
170826:1962,239,7161337.32466,"[50-122], [139-243], [248-308]",7056088.46927
170842:1962,322,8337119.03749,"[1-27], [32-96], [102-331]",8199240.59857
170854:1962,565,12457017.0715,"[1-336], [341-414], [420-470], [475-578]",12239597.408
170876:1962,507,9210086.45846,"[1-110], [115-295], [301-516]",9078809.98988
170896:1962,212,3481797.95694,[1-212],3420842.91029
170899:1962,84,1325749.06268,[1-84],1309156.79391
